dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_awakeningsCount,metabolite_180,-0.05723912700276418,-1.2367082782768581,0.21632344945516793,2273.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.5025188141090335
sleep_efficiency,metabolite_180,-0.0006030772947509255,-0.5668117251661219,0.5709010235129333,2164.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.796956553009514
sleep_minutesAfterWakeup,metabolite_180,0.11166625588666786,2.5365429488565563,0.011272665971028734,1956.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.09157343410802558
sleep_minutesAsleep,metabolite_180,0.023493751506900043,0.8534851400114033,0.39348273564348124,2217.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.6682764093390863
sleep_restlessDuration,metabolite_180,0.05401701909601675,1.4890165458802933,0.13663446475599472,2087.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.39730797999667683
sleep_awakeDuration,metabolite_181,0.08000582128428602,2.5100122575116797,0.012148556497950554,2072.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.09552378097659663
sleep_awakeningsCount,metabolite_181,-0.062239228641893074,-1.6458970836435995,0.09992424366836856,2261.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.3343618922749256
sleep_efficiency,metabolite_181,-0.0002131753098384109,-0.2450818646712608,0.8064164556921918,2153.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.9176815109712411
sleep_minutesAfterWakeup,metabolite_181,0.08957580509612072,2.4905284465045696,0.012838279619281303,1948.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.09836602310568658
sleep_minutesAsleep,metabolite_181,0.04353405291209235,1.928415237647095,0.053931568775293835,2213.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.23384797586329176
sleep_restlessDuration,metabolite_181,0.03373021550606725,1.130003551726192,0.2586050800350039,2084.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.5433017089052049
sleep_awakeDuration,metabolite_182,-0.008008929098863126,-0.1899817402432264,0.8493431321256026,1963.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.9381601654893108
sleep_awakeningsCount,metabolite_182,-0.07871637583036248,-1.5884718319662061,0.11232761475015797,2142.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.35661868979538086
sleep_efficiency,metabolite_182,-0.0013939596621318218,-1.2174050229422189,0.2235913025253832,2040.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.5088797637803603
sleep_minutesAfterWakeup,metabolite_182,0.018936641930093027,0.39467152691907653,0.6931310850232467,1844.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.865250884659892
